longitude,time,humidity,temperature,windspeed,soundvalue,distance,,latitude
7.575378, 9:27:11,82,10,-0.09,2,1003,0,51.975189
7.575362, 9:27:16,0,0,0.01,5,1010,0,51.975189
7.575362, 9:27:16,82,10,0.01,5,1010,0,51.975162
7.575363, 9:27:21,0,0,-0.09,6,1016,0,51.975162
7.575363, 9:27:21,82,10,-0.09,6,1016,0,51.975124
7.575333, 9:27:26,0,0,-0.19,4,1023,0,51.975124
7.575333, 9:27:26,82,10,-0.19,4,1023,0,51.975154
7.575347, 9:27:31,0,0,-0.19,4,1027,0,51.975154
7.575347, 9:27:31,82,10,-0.19,4,1027,0,51.975154
7.575338, 9:27:36,0,0,0.01,7,1032,0,51.975154
7.575338, 9:27:36,82,10,0.01,7,1032,0,51.975181
7.57538, 9:27:41,0,0,-0.19,11,1041,0,51.975181
7.57538, 9:27:41,82,10,-0.19,11,1041,0,51.975131
7.575368, 9:27:46,0,0,-0.09,10,1055,0,51.975131
7.575368, 9:27:46,82,10,-0.09,10,1055,0,51.975074
7.575328, 9:27:51,0,0,-0.09,11,1070,0,51.975074
7.575328, 9:27:51,82,10,-0.09,11,1070,0,51.975051
7.57528, 9:27:56,0,0,0.01,6,1085,0,51.975051
7.57528, 9:27:56,82,10,0.01,6,1085,0,51.975051
7.57525, 9:28:1,0,0,-0.19,8,1102,0,51.975051
7.57525, 9:28:1,82,10,-0.19,8,1102,0,51.975055
7.575218, 9:28:6,0,0,-0.19,10,1119,0,51.975055
7.575218, 9:28:6,82,10,-0.19,10,1119,0,51.975051
7.575195, 9:28:11,0,0,-0.19,10,1133,0,51.975051
7.575195, 9:28:11,82,10,-0.19,10,1133,0,51.975028
7.575175, 9:28:16,0,0,-0.09,17,1147,0,51.975028
7.575175, 9:28:16,82,10,-0.09,17,1147,0,51.975025
7.57518, 9:28:21,0,0,-0.09,48,1153,0,51.975025
7.57518, 9:28:21,82,10,-0.09,48,1153,0,51.97504
7.575177, 9:28:26,0,0,-0.29,14,1150,0,51.97504
7.575177, 9:28:26,82,10,-0.29,14,1150,0,51.975044
7.575165, 9:28:31,0,0,-0.09,9,1143,0,51.975044
7.575165, 9:28:31,82,10,-0.09,9,1143,0,51.975059
7.575155, 9:28:36,0,0,-0.19,8,1140,0,51.975059
7.575155, 9:28:36,82,10,-0.19,8,1140,0,51.97509
7.575177, 9:28:41,0,0,0.01,9,1138,0,51.97509
7.575177, 9:28:41,82,10,0.01,9,1138,0,51.975101
7.575168, 9:28:46,0,0,-0.09,7,1139,0,51.975101
7.575168, 9:28:46,82,10,-0.09,7,1139,0,51.975116
7.575232, 9:28:51,0,0,0.01,6,1144,0,51.975116
7.575232, 9:28:51,82,10,0.01,6,1144,0,51.975097
7.575252, 9:28:56,0,0,-0.09,7,1154,0,51.975097
7.575252, 9:28:56,82,10,-0.09,7,1154,0,51.975082
7.575243, 9:29:1,0,0,0.01,4,1163,0,51.975082
7.575243, 9:29:1,82,10,0.01,4,1163,0,51.975082
7.575243, 9:29:6,0,0,-0.29,8,1172,0,51.975082
7.575243, 9:29:6,82,10,-0.29,8,1172,0,51.97509
7.575238, 9:29:11,0,0,-0.09,6,1178,0,51.97509
7.575238, 9:29:11,82,10,-0.09,6,1178,0,51.975086
7.575245, 9:29:16,0,0,-0.29,7,1184,0,51.975086
7.575245, 9:29:16,82,10,-0.29,7,1184,0,51.975086
7.575245, 9:29:21,0,0,-0.19,3,1186,0,51.975086
7.575245, 9:29:21,82,10,-0.19,3,1186,0,51.975086
7.575245, 9:29:26,0,0,-0.09,2,1191,0,51.975086
7.575245, 9:29:26,82,10,-0.09,2,1191,0,51.975086
