longitude,time,humidity,temperature,windspeed,soundvalue,lux,distance,latitude
7.575112, 4:26:2,0,0,0.2,150,1,0,51.975082
7.575112, 4:26:2,78,6,0.2,150,1,0,51.975082
7.575112, 4:26:7,0,0,0.11,140,1,0,51.975082
7.575112, 4:26:7,78,6,0.11,140,1,0,51.975082
7.575112, 4:26:12,0,0,0.11,177,1,0,51.975082
7.575112, 4:26:12,78,6,0.11,177,1,0,51.975048
7.575348, 4:26:17,0,0,0.69,164,1,0,51.975048
7.575348, 4:26:17,78,6,0.69,164,1,0,51.975036
7.575372, 4:26:22,0,0,0.3,160,1,0,51.975036
7.575372, 4:26:22,78,6,0.3,160,1,0,51.975028
7.575375, 4:26:27,0,0,0.2,135,1,0,51.975028
7.575375, 4:26:27,78,6,0.2,135,1,0,51.975028
7.575375, 4:26:32,0,0,0.2,148,1,0,51.975028
7.575375, 4:26:32,78,6,0.2,148,1,0,51.975028
7.575375, 4:26:37,0,0,0.01,181,1,0,51.975028
7.575375, 4:26:37,78,6,0.01,181,1,0,51.975028
7.575375, 4:26:42,0,0,-0.09,167,1,0,51.975028
7.575375, 4:26:42,78,6,-0.09,167,1,0,51.975028
7.575375, 4:26:47,0,0,0.01,89,1,0,51.975028
7.575375, 4:26:47,78,6,0.01,89,1,0,51.975028
7.575375, 4:26:52,0,0,0.01,195,1,0,51.975028
7.575375, 4:26:52,78,6,0.01,195,1,0,51.975028
7.575375, 4:26:57,0,0,0.4,138,1,0,51.975028
7.575375, 4:26:57,78,6,0.4,138,1,0,51.975028
7.575375, 4:27:2,0,0,0.11,185,1,0,51.975028
7.575375, 4:27:2,78,6,0.11,185,1,0,51.975028
7.575375, 4:27:7,0,0,0.5,165,1,0,51.975028
7.575375, 4:27:7,78,6,0.5,165,1,0,51.975028
7.575375, 4:27:12,0,0,0.3,156,1,0,51.975028
7.575375, 4:27:12,78,6,0.3,156,1,0,51.975028
7.575375, 4:27:17,0,0,0.79,152,1,0,51.975028
7.575375, 4:27:17,78,6,0.79,152,1,0,51.975028
7.575375, 4:27:22,0,0,0.79,174,1,0,51.975028
7.575375, 4:27:22,78,6,0.79,174,1,0,51.975028
7.575375, 4:27:27,0,0,0.79,188,1,0,51.975028
7.575375, 4:27:27,78,6,0.79,188,1,0,51.975028
7.575375, 4:27:33,0,0,0.4,145,1,0,51.975028
7.575375, 4:27:33,78,6,0.4,145,1,0,51.975028
7.575375, 4:27:38,0,0,0.2,132,1,0,51.975028
7.575375, 4:27:38,78,6,0.2,132,1,0,51.975028
7.575375, 4:27:43,0,0,0.4,109,1,0,51.975028
7.575375, 4:27:43,78,6,0.4,109,1,0,51.975028
7.575375, 4:27:48,0,0,0.3,212,1,0,51.975028
7.575375, 4:27:48,78,6,0.3,212,1,0,51.975028
7.575375, 4:27:53,0,0,0.3,146,1,0,51.975028
7.575375, 4:27:53,78,6,0.3,146,1,0,51.975028
7.575375, 4:27:58,0,0,0.3,136,1,0,51.975028
7.575375, 4:27:58,78,6,0.3,136,1,0,51.97496
